year,month,day,channel,total_applications,total_approved_amount,avg_credit_score,min_credit_score,max_credit_score
2026,5,5,branch,2796,45828385,622.6033619456366,300,950
2026,5,26,web,2763,47401023,627.8458197611292,300,950
2026,5,11,web,2871,51602163,625.3939393939394,300,950
2026,5,13,partner,2906,52366796,629.1885753613215,300,950
2026,5,25,partner,2826,50432580,628.8276716206652,300,950
2026,5,11,partner,2831,51818755,628.0872483221476,300,950
2026,5,8,branch,2866,50283818,626.8977669225401,300,950
2026,5,24,web,2875,51842788,625.2264347826087,300,950
2026,5,7,atm,2769,50563189,627.3578909353557,300,950
2026,5,2,atm,2788,48001270,622.8393113342898,300,950
2026,5,24,atm,2785,46542344,616.2779174147217,300,950
2026,5,12,atm,2689,47260253,621.4313871327631,300,950
2026,5,2,partner,2816,50743266,626.0838068181819,300,950
2026,5,27,atm,2790,50564635,627.9551971326165,300,950
2026,5,3,atm,2761,48469673,623.114451285766,300,950
2026,5,13,mobile,2869,52244506,627.5677936563262,300,950
2026,5,31,mobile,2836,50407026,621.7119181946404,300,950
2026,5,28,mobile,2939,52473817,623.6124532153793,300,950
2026,5,20,mobile,2825,48481776,624.5653097345132,300,950
2026,5,9,partner,2859,52340608,625.6991955229101,300,950
2026,5,26,atm,2878,52427690,629.2060458651841,300,950
2026,5,11,branch,2842,49689602,628.1101337086559,300,950
2026,5,3,mobile,2998,53432209,621.6807871914609,300,950
2026,5,14,mobile,2784,49100383,629.7112068965517,300,950
2026,5,30,partner,2856,48384226,618.391456582633,300,950
2026,5,8,mobile,2803,46655204,621.3599714591509,300,950
2026,5,14,web,2918,52635852,620.6723783413297,300,950
2026,5,31,atm,2935,50313209,626.1788756388415,300,950
2026,5,14,atm,2816,50774400,625.9126420454545,300,950
2026,5,8,partner,2656,48224585,623.6189759036145,300,950
2026,5,26,partner,2823,49897777,625.0715550832448,300,950
2026,5,25,atm,2677,48025687,627.5625700410908,300,950
2026,5,6,branch,2742,48775627,620.7873814733771,300,950
2026,5,12,web,2927,50600812,623.4694226170141,300,950
2026,5,10,mobile,2793,50243085,620.6208378088078,300,950
2026,5,14,branch,2919,52161478,627.2332990750257,300,950
2026,5,29,web,2752,47601355,619.5076308139535,300,950
2026,5,28,atm,2954,50364645,628.6096817874069,300,950
2026,5,10,atm,2853,50999885,618.3634770417104,300,950
2026,5,20,partner,2821,48498933,629.155264090748,300,950
2026,5,23,atm,2743,48019223,623.3419613561794,300,949
2026,5,2,mobile,2906,51766515,625.3489332415692,300,950
2026,5,5,mobile,2861,50260991,629.0657112897588,300,950
2026,5,18,partner,2838,49483479,628.5493305144468,300,950
2026,5,30,mobile,2827,50552623,625.9278386982667,300,950
2026,5,10,web,2809,52057331,628.1530793876824,300,950
2026,5,7,partner,2917,52276995,624.3983544737745,300,950
2026,5,18,atm,2895,52124586,623.9754749568222,300,950
2026,5,31,branch,2823,48926039,619.9613885936947,300,950
2026,5,23,branch,2865,50529787,625.2544502617801,300,950
2026,5,19,partner,2840,51010169,627.537676056338,300,950
