call_id,call_status,call_time,campaign_type,client_id,client_response,duration_sec,follow_up_required,region_code
call_20260501_000042_025425,failed,,deposit_offer,client_019641,opted_out,59,False,DE-BE
call_20260501_000054_074512,answered,,insurance_offer,client_010770,not_interested,526,False,RU-KR
call_20260501_000211_011493,no_answer,,deposit_offer,client_038615,opted_out,445,False,RU-SPE
call_20260501_000226_092871,no_answer,,credit_card_offer,client_022547,callback_requested,431,True,RU-MOW
call_20260501_000245_050066,answered,,insurance_offer,client_049466,callback_requested,203,True,RU-MOW
call_20260501_000421_048850,failed,,deposit_offer,client_042104,not_interested,42,False,DE-BY
call_20260501_000434_041212,failed,,loan_offer,client_021205,interested,54,True,DE-BY
call_20260501_000450_006052,no_answer,,loan_offer,client_044126,interested,205,False,DE-HE
call_20260501_000509_091270,failed,,loan_offer,client_022486,not_interested,158,True,DE-BE
call_20260501_000528_010048,no_answer,,insurance_offer,client_005992,not_interested,475,True,RU-TA
call_20260501_000626_055566,no_answer,,loan_offer,client_049054,opted_out,538,True,RU-SPE
call_20260501_000640_003412,failed,,deposit_offer,client_041323,opted_out,404,False,DE-BE
call_20260501_000647_004164,no_answer,,deposit_offer,client_040301,interested,50,True,DE-BY
call_20260501_000657_003332,answered,,deposit_offer,client_007145,interested,581,False,RU-TA
call_20260501_000754_056748,no_answer,,deposit_offer,client_049222,opted_out,91,True,RU-KR
call_20260501_000827_003843,failed,,deposit_offer,client_025131,opted_out,479,False,DE-BY
call_20260501_000903_028190,answered,,deposit_offer,client_008522,interested,136,True,RU-SPE
call_20260501_000925_000260,busy,,insurance_offer,client_002116,callback_requested,278,False,RU-NGR
call_20260501_000949_081284,busy,,insurance_offer,client_045926,not_interested,232,True,DE-BY
call_20260501_000954_032108,busy,,credit_card_offer,client_016453,callback_requested,124,True,DE-BE
call_20260501_001020_053034,failed,,insurance_offer,client_020598,opted_out,418,False,DE-BE
call_20260501_001029_007114,no_answer,,credit_card_offer,client_047185,callback_requested,457,True,DE-HE
call_20260501_001049_063427,busy,,insurance_offer,client_018745,opted_out,495,False,RU-KR
call_20260501_001159_010813,no_answer,,loan_offer,client_047662,callback_requested,145,False,DE-BE
call_20260501_001204_075061,busy,,deposit_offer,client_036532,callback_requested,434,True,DE-BE
call_20260501_001204_078560,no_answer,,credit_card_offer,client_014163,not_interested,268,False,DE-BY
call_20260501_001208_063914,busy,,insurance_offer,client_027578,interested,285,False,DE-BW
call_20260501_001228_072560,busy,,deposit_offer,client_019677,not_interested,249,False,DE-NW
call_20260501_001241_072303,busy,,insurance_offer,client_010053,callback_requested,560,False,RU-SPE
call_20260501_001242_032037,no_answer,,deposit_offer,client_002058,callback_requested,553,True,RU-TA
call_20260501_001345_060322,answered,,credit_card_offer,client_046241,not_interested,479,False,DE-BW
call_20260501_001411_000990,busy,,insurance_offer,client_009575,interested,243,True,DE-HE
call_20260501_001417_023713,busy,,loan_offer,client_034156,not_interested,277,False,RU-MOW
call_20260501_001437_035201,no_answer,,loan_offer,client_029098,interested,290,True,RU-TA
call_20260501_001452_049632,failed,,insurance_offer,client_036844,interested,327,False,RU-KR
call_20260501_001540_011367,answered,,loan_offer,client_000888,not_interested,169,True,DE-BW
